end1;end2;end3;end4;end5;name;label;data_type;address;access;comment
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};fuel_flow;fuel;float;;read;Fuel Flow - Process Value [Nm�/h]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};fuel_flow_setpoint;fuel;float;;read/write;Fuel Flow - Setpoint [Nm�/h]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};low_heat_val_air_calc;air;float;;read/write;Low Heat Value air used for calculations [kcal/Nm�]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};stoich_air_calc;air;float;;read/write;Stoichiometric air used for calculation [m�(n)/kg]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_flow_theo;air;float;;read;Combustion Air Flow by Theoretical Calculation [m�(n)/h]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_flow;air;float;;read;Combustion Air Flow [m�(n)/h]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_index;air;float;;read;Combustion Air Index (Excess of Air) - Process Value [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_index_setpoint;air;float;;read/write;Combustion Air Index (Excess of Air) - Setpoint [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_blower_speed;air;float;;read;Combustion Air Blower used for regulation - Speed - Process Value
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_blower_speed_setpoint;air;float;;read/write;Combustion Air Blower used for regulation - Speed - Setpoint
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cool_air_flow_theo;air;float;;read;Lime Cooling Air Flow by Theoretical Calculation [m�(n)/h]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cool_air_flow;air;float;;read;Lime Cooling Air Flow
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cool_air_ratio;air;float;;read;Lime Cooling Air Ratio - Process Value [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cool_air_ratio_setpoint;air;float;;read/write;Lime Cooling Air Ratio - Setpoint [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cool_air_blower_speed;air;float;;read;Lime Cooling Air Blower used for regulation - Speed - Process Value
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cool_air_blower_speed_setpoint;air;float;;read/write;Lime Cooling Air Blower used for regulation - Speed - Setpoint
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};channel_temp1;temperature;float;;read;Channel Temperature 1 [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};channel_temp2;temperature;float;;read;Channel Temperature 2 [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};waste_gases_temp_outlet_kiln;temperature;float;;read;Waste Gases Temperature - Outlet Kiln [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};waste_gases_temp_inlet_kiln_filter;temperature;float;;read;Waste Gases Temperature - Inlet Kiln Filter [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft1_drawer_pipe_temp;temperature;float;;read;Shaft 1 Drawer Pipe Side - Lime Temperature [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft1_drawer_skip_temp;temperature;float;;read;Shaft 1 Drawer Skip Side - Lime Temperature [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft2_drawer_pipe_temp;temperature;float;;read;Shaft 2 Drawer Pipe Side - Lime Temperature [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft2_drawer_skip_temp;temperature;float;;read;Shaft 2 Drawer Skip Side - Lime Temperature [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_air_pressure;pressure;float;;read;Combustion Air Pressure [mbar]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};lime_cool_air_pressure;pressure;float;;read;Lime Cooling Air Pressure [mbar]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};channel_air_pressure;pressure;float;;read;Channel Air Pressure [mbar]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft1_lances_cool_air_pressure;pressure;float;;read;Shaft 1 Lances Cooling Air Pressure [mbar]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft2_lances_cool_air_pressure;pressure;float;;read;Shaft 2 Lances Cooling Air Pressure [mbar]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft1_strokes;production;float;;read;Shaft 1 - Number of Total Strokes [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft2_strokes;production;float;;read;Shaft 2 - Number of Total Strokes [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};natural_gas_temp;temperature;float;;read;Natural Gas - Temperature [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};natural_gas_pressure;production;float;;read;Natural Gas - Pressure [barg]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};natural_gas_output_regulator;fuel;float;;read;Natural Gas - Output Regulator [%]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};hydraulic_oil_temp;temperature;float;;read;Hydraulic Oil - Temperature [�C]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};hydraulic_oil_pressure;pressure;float;;read;Hydraulic Oil - Pressure [bar]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};waiting_time;time;float;;read;Waiting Time [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};unavailability_time;time;float;;read;Unavailability Time [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};drawer_sampling_time;time;float;;read;Drawer Sampling [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};valves_maint_time;time;float;;read;Valves Time Maintenance [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};hyd_oil_unit_maint_time;time;float;;read;Hydraulic Oil Unit Time Maintenance [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};hyd_oil_plant_maint_time;time;float;;read;Hydraulic Oil Plant Time Maintenance [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};blower_maint_time;time;float;;read;Blower Time Maintenance [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};skip_maint_time;time;float;;read;Skip Time Maintenance [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};limestone_hopper_time;time;float;;read;Limestone Weighed Hopper Calibration [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};other_maint_time;time;float;;read;Other Maintenance [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};mechanical_issue_time;time;float;;read;Mechanical Issue [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};electrical_issue_time;time;float;;read;Electrical Issue [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};process_issue_time;time;float;;read;Process Issue [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};other_issue_time;time;float;;read;Other Is+B2:B66sue [s]
